FULL BODY
Slider name: VanillaSSELo; Display name: Vanilla SSE Low; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BigButt; Display name: Big; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ChubbyButt; Display name: Chubby; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: AppleCheeks; Display name: Apple; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ButtDimples; Display name: Dimples; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ButtUnderFold; Display name: Under Fold; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: RoundAss; Display name: Round; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ButtSaggy_v2; Display name: Saggy; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ButtPressed_v2; Display name: Pressed; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ButtNarrow_v2; Display name: Narrow; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: CrotchBack; Display name: Move Crotch; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: Groin; Display name: Groin; Small default value: 0; BigDefaultValue: 0; inverted: false

LEGS AND FEET
Slider name: LegShapeClassic; Display name: Shape Classic; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: 7BLeg_v2; Display name: 7B Legs; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsThin; Display name: Thin; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: SlimThighs; Display name: Slim; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: Thighs; Display name: Thighs; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ChubbyLegs; Display name: Chubby; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ThighOutsideThicc_v2; Display name: Outside; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ThighInsideThicc_v2; Display name: Inside; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ThighFBThicc_v2; Display name: FrontBack; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: KneeHeight; Display name: Knee Height; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: KneeShape; Display name: Knee Shape; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: KneeTogether_v2; Display name: Knee Together; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: CalfSize; Display name: Calf Size; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: CalfSmooth; Display name: Calf Smooth; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: CalfFBThicc_v2; Display name: Calf FrontBack; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: FeetFeminine; Display name: Feminine Feet; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegSpread_v2; Display name: Leg Spread; Small default value: 0; BigDefaultValue: 0; inverted: false

MUSCLE DEFINITION
Slider name: MuscleAbs; Display name: Abs; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: MuscleArms; Display name: Arms; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: MuscleButt; Display name: Butt; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: MuscleLegs; Display name: Legs; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: MusclePecs; Display name: Pecs; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: MuscleBack_v2; Display name: Back; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: MuscleMoreAbs_v2; Display name: More Abs; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: MuscleMoreArms_v2; Display name: More Arms; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: MuscleMoreLegs_v2; Display name: More Legs; Small default value: 0; BigDefaultValue: 0; inverted: false

HIPS
Slider name: HipBone; Display name: Hip Bone; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: Hips; Display name: Size; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: HipForward; Display name: Forward; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: HipUpperWidth; Display name: Upper Width; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: HipCarved; Display name: Carved; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: UNPHip_v2; Display name: UNP Hip; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: HipNarrow_v2; Display name: Hip Narrow; Small default value: 0; BigDefaultValue: 0; inverted: false

ARMS
Slider name: Arms; Display name: Size; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ForearmSize; Display name: Forearm Size; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ChubbyArms; Display name: Chubby; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ShoulderSmooth; Display name: Shoulder Smooth; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ShoulderWidth; Display name: Shoulder Width; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ShoulderTweak; Display name: Shoulder Tweak; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ArmpitShape_v2; Display name: Armpit; Small default value: 0; BigDefaultValue: 0; inverted: false

BELLY
Slider name: Belly; Display name: Size; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BigBelly; Display name: Big; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: PregnancyBelly; Display name: Pregnant; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BellyFrontUpFat_v2; Display name: Front Up Fat; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BellyFrontDownFat_v2; Display name: Front Down Fat; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BellySideUpFat_v2; Display name: Side Up Fat; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BellySideDownFat_v2; Display name: Side Down Fat; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BellyUnder_v2; Display name: Under; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: TummyTuck; Display name: Tuck; Small default value: 0; BigDefaultValue: 0; inverted: false
