MAIN BODY
Slider name: Weight 0 to 1; Display name: Weight 0 to 1; Small default value: 0; BigDefaultValue: 100; inverted: false
Slider name: ArmsTrapsMeat; Display name: Traps Mass; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ArmsTrapsPush; Display name: Traps Edges; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ArmsTrapsValleys; Display name: Traps Valleys; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ArmsClavicleCurve; Display name: Clavicles; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ArmsShoulders; Display name: Enlarge Shoulders; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ArmsDelts; Display name: Delts; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ArmsDeltsBack; Display name: Delts (Back); Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ArmsDeltsUpper; Display name: Delts (Upper); Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ArmsDeltsLower; Display name: Delts (Lower); Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ArmsDeltsShape; Display name: Delts (Round); Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ArmsBiceps; Display name: Biceps; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ArmsBicepsBack; Display name: Biceps (Back); Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ArmsSide; Display name: Biceps (Side); Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ArmsBrachio; Display name: Elbow Pits; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ArmsFore; Display name: Forearms Size; Small default value: 0; BigDefaultValue: 0; inverted: false

THIGHS AND LEGS
Slider name: LegsSize; Display name: Legs Size; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsThigh; Display name: Thigh; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsThighSmoothCurve; Display name: Curve Upper Thigh; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsThighUpperSide; Display name: Thigh (Upper); Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsThighInnerSide; Display name: Thigh (Inner); Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsThighIn; Display name: Thigh (Inner Lower); Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsVastusMReduction; Display name: Reduce Vastus Medialis; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsThinner; Display name: Thin; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsChubby; Display name: Chubby; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsGlutes; Display name: Glutes; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsFemurUpper; Display name: Femur (Upper); Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsFemurLower; Display name: Femur (Lower); Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsFemurSide; Display name: Femur (Side); Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsFemurBack; Display name: Femur (Back); Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsKneePit; Display name: KneePit; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsKneeInner; Display name: Knee (Inner); Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsKneeOuter; Display name: Knee (Outer); Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsCalfSize; Display name: Calves Size; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsCalfWidth; Display name: Calves Width; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsCalfUpper; Display name: Calves (Upper); Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsCalfLower; Display name: Calves (Lower); Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsCalfSideIn; Display name: Calves (Inner); Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsCalfOut; Display name: Calves (Outer); Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsCalfFlatten; Display name: Flatten Calves; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LegsShinCrease; Display name: Crease Shin; Small default value: 0; BigDefaultValue: 0; inverted: false
